date,time,epicenter,緯度,経度,depth,magnitude,maxshindo,lat,lng
2001/1/15,23:20:45,兵庫県北部,35°28.3′N,134°30.6′E,10 km,4.7,震度３,35.47166667,134.51
2001/1/15,23:22:42,兵庫県北部,35°28.1′N,134°31.1′E,9 km,2.7,震度１,35.46833333,134.5183333
2001/1/16,3:10:16,兵庫県北部,35°29.1′N,134°30.5′E,8 km,2.6,震度１,35.485,134.5083333
2001/1/16,4:44:36,青森県東方沖,41°29.6′N,142°00.4′E,63 km,4.1,震度２,41.49333333,142.0066667
2001/1/16,8:11:51,和歌山県北部,34°15.9′N,135°14.5′E,7 km,2.4,震度１,34.265,135.2416667
2001/1/16,10:31:15,西表島付近,24°27.6′N,123°44.7′E,12 km,3.2,震度２,24.46,123.745
2001/1/16,12:15:27,兵庫県北部,35°29.2′N,134°30.1′E,10 km,2.4,震度１,35.48666667,134.5016667
2001/1/16,14:32:01,新島・神津島近海,34°12.5′N,139°04.6′E,8 km,3,震度４,34.20833333,139.0766667
2001/1/16,14:50:30,兵庫県北部,35°27.9′N,134°31.2′E,9 km,2.6,震度１,35.465,134.52
2001/1/16,15:45:34,新潟県中越地方,36°57.5′N,138°46.8′E,9 km,3.8,震度３,36.95833333,138.78
2001/1/16,16:26:15,兵庫県北部,35°28.2′N,134°31.5′E,9 km,3,震度２,35.47,134.525
2001/1/16,18:06:30,鳥取県西部,35°11.1′N,133°25.6′E,5 km,3.5,震度３,35.185,133.4266667
2001/1/16,23:31:53,兵庫県北部,35°27.8′N,134°31.5′E,9 km,2.6,震度１,35.46333333,134.525
2001/1/17,0:51:41,秋田県内陸南部,39°42.5′N,140°40.3′E,9 km,2.8,震度１,39.70833333,140.6716667
2001/1/17,4:16:55,千葉県北西部,35°47.5′N,140°00.7′E,57 km,3.5,震度１,35.79166667,140.0116667
2001/1/17,5:16:57,兵庫県北部,35°29.8′N,134°28.9′E,10 km,2.5,震度１,35.49666667,134.4816667
2001/1/17,5:55:17,兵庫県北部,35°28.2′N,134°29.3′E,10 km,3.2,震度１,35.47,134.4883333
2001/1/17,8:22:26,兵庫県北部,35°29.8′N,134°28.9′E,9 km,2.4,震度１,35.49666667,134.4816667
2001/1/17,9:27:30,兵庫県北部,35°30.4′N,134°28.7′E,10 km,2.9,震度１,35.50666667,134.4783333
2001/1/17,12:45:18,島根県東部,35°23.2′N,133°18.1′E,9 km,2.3,震度１,35.38666667,133.3016667
2001/1/17,19:47:32,兵庫県北部,35°28.4′N,134°31.2′E,9 km,3.1,震度１,35.47333333,134.52
2001/1/17,19:48:23,兵庫県北部,35°28.4′N,134°31.2′E,8 km,2.6,震度１,35.47333333,134.52
2001/1/17,22:22:15,島根県東部,35°21.8′N,133°15.4′E,8 km,2.4,震度１,35.36333333,133.2566667
2001/1/18,7:40:34,兵庫県北部,35°29.8′N,134°29.0′E,10 km,2.7,震度１,35.49666667,134.4833333
2001/1/18,9:53:47,兵庫県北部,35°29.9′N,134°28.9′E,10 km,3.9,震度２,35.49833333,134.4816667
2001/1/18,10:35:10,兵庫県北部,35°29.7′N,134°29.0′E,10 km,3.2,震度２,35.495,134.4833333
2001/1/18,11:06:33,兵庫県北部,35°30.0′N,134°28.7′E,9 km,2.8,震度１,35.5,134.4783333
2001/1/18,13:43:04,兵庫県北部,35°29.7′N,134°29.1′E,10 km,2.8,震度２,35.495,134.485
2001/1/18,18:24:01,兵庫県北部,35°28.1′N,134°30.7′E,11 km,3.8,震度２,35.46833333,134.5116667
2001/1/18,20:22:31,兵庫県北部,35°28.0′N,134°31.5′E,9 km,2.4,震度１,35.46666667,134.525
2001/1/19,8:10:57,茨城県北部,36°31.1′N,140°34.4′E,60 km,3.7,震度２,36.51833333,140.5733333
2001/1/19,8:50:29,新島・神津島近海,34°23.4′N,139°11.3′E,10 km,2.8,震度２,34.39,139.1883333
2001/1/20,4:19:24,兵庫県北部,35°28.4′N,134°30.4′E,10 km,2.8,震度１,35.47333333,134.5066667
2001/1/20,5:17:36,兵庫県北部,35°30.1′N,134°28.8′E,10 km,4,震度２,35.50166667,134.48
2001/1/20,5:19:51,兵庫県北部,35°30.2′N,134°28.7′E,11 km,4.8,震度３,35.50333333,134.4783333
2001/1/20,5:27:00,兵庫県北部,35°29.9′N,134°29.0′E,10 km,4.3,震度３,35.49833333,134.4833333
2001/1/20,5:30:44,兵庫県北部,35°30.2′N,134°28.6′E,10 km,2.8,震度１,35.50333333,134.4766667
2001/1/20,5:38:30,兵庫県北部,35°29.5′N,134°29.3′E,10 km,3,震度２,35.49166667,134.4883333
2001/1/20,5:46:04,兵庫県北部,35°29.6′N,134°29.2′E,10 km,2.1,震度１,35.49333333,134.4866667
2001/1/20,6:25:38,兵庫県北部,35°29.0′N,134°29.6′E,10 km,4.2,震度３,35.48333333,134.4933333
2001/1/20,7:05:37,兵庫県北部,35°28.9′N,134°29.8′E,10 km,4.1,震度２,35.48166667,134.4966667
2001/1/20,7:10:42,兵庫県北部,35°29.3′N,134°29.3′E,10 km,2.2,震度１,35.48833333,134.4883333
2001/1/20,7:23:59,兵庫県北部,35°29.6′N,134°29.3′E,11 km,4.7,震度３,35.49333333,134.4883333
2001/1/20,7:43:39,兵庫県北部,35°30.4′N,134°28.7′E,9 km,2.8,震度１,35.50666667,134.4783333
2001/1/20,7:56:16,兵庫県北部,35°29.7′N,134°29.1′E,11 km,3.1,震度２,35.495,134.485
2001/1/20,7:57:49,兵庫県北部,35°29.6′N,134°29.2′E,11 km,3.7,震度２,35.49333333,134.4866667
2001/1/20,8:47:58,鳥取県西部,35°17.0′N,133°20.2′E,11 km,2.7,震度１,35.28333333,133.3366667
2001/1/20,8:48:43,兵庫県北部,35°28.9′N,134°29.7′E,10 km,3.4,震度２,35.48166667,134.495
2001/1/20,9:00:46,鳥取県西部,35°17.1′N,133°20.2′E,10 km,2.6,震度１,35.285,133.3366667
2001/1/20,9:04:59,兵庫県北部,35°27.9′N,134°30.4′E,10 km,2.8,震度１,35.465,134.5066667
2001/1/20,9:10:22,兵庫県北部,35°29.5′N,134°29.3′E,10 km,2.2,震度１,35.49166667,134.4883333
2001/1/20,9:47:45,兵庫県北部,35°29.5′N,134°29.2′E,10 km,2.5,震度１,35.49166667,134.4866667
2001/1/20,10:02:12,兵庫県北部,35°29.1′N,134°29.5′E,9 km,2.5,震度１,35.485,134.4916667
2001/1/20,10:06:48,兵庫県北部,35°30.2′N,134°29.0′E,10 km,2.9,震度２,35.50333333,134.4833333
2001/1/20,12:02:19,兵庫県北部,35°29.6′N,134°29.3′E,10 km,2.4,震度１,35.49333333,134.4883333
